plate_well,sequencing_sample_id,library_type,kinnex_pool,kinnex_adapter_bc,samples_in_pool,isoseq_primer_bc
1_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool3_Kinnex_250923_LAAMD,BC03,OG664G_R_KL,BC07
1_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool1_Kinnex_250923_LAAMD,BC02,OG7M_R_KL,BC03
1_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool3_Kinnex_250923_LAAMD,BC03,OG9G_R_KL,BC04
1_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool3_Kinnex_250923_LAAMD,BC03,OG9M_R_KL,BC04
1_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool2_Kinnex_250923_LAAMD,BC01,OG107M_R_KL,BC06
1_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool2_Kinnex_250923_LAAMD,BC01,OG107G_R_KL,BC06
1_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool2_Kinnex_250923_LAAMD,BC01,OG16G_R2_KL,BC05
1_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool2_Kinnex_250923_LAAMD,BC01,OG16M_R_KL,BC05
1_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool3_Kinnex_250923_LAAMD,BC03,OG664M_R_KL,BC07
1_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool1_Kinnex_250923_LAAMD,BC02,OG6M_R_KL,BC02
1_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool1_Kinnex_250923_LAAMD,BC02,OG6G_R2_KL,BC02
1_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool1_Kinnex_250923_LAAMD,BC02,OG7G_R_KL,BC03
1_B01,PACB_251117_LAAMD,PacBio_Kinnex,Pool4_Kinnex_250923_LAAMD,BC04,OG800G_R_KL,BC10
1_B01,PACB_251117_LAAMD,PacBio_Kinnex,Pool5_Kinnex_250923_LAAMD,BC03,OG654M_R_KL2,BC09
1_B01,PACB_251117_LAAMD,PacBio_Kinnex,Pool4_Kinnex_250923_LAAMD,BC04,OG665G_R_KL,BC08
1_B01,PACB_251117_LAAMD,PacBio_Kinnex,Pool4_Kinnex_250923_LAAMD,BC04,OG665M_R_KL,BC08
1_B01,PACB_251117_LAAMD,PacBio_Kinnex,Pool5_Kinnex_250923_LAAMD,BC03,OG662G_R_KL2,BC01
1_C01,PACB_251117_LAAMD,PacBio_Kinnex,Pool1_Kinnex_251006_LA,BC01,OG52G_R_KL,BC08
1_C01,PACB_251117_LAAMD,PacBio_Kinnex,Pool1_Kinnex_251006_LA,BC01,OG5G_R_KL,BC02
1_C01,PACB_251117_LAAMD,PacBio_Kinnex,Pool1_Kinnex_251006_LA,BC01,OG47G_R_KL,BC07
1_D01,PACB_251117_LAAMD,PacBio_Kinnex,Pool2_Kinnex_251006_LA,BC02,OG105G_R_KL,BC12
1_D01,PACB_251117_LAAMD,PacBio_Kinnex,Pool2_Kinnex_251006_LA,BC02,OG3G_R_KL,BC01
1_D01,PACB_251117_LAAMD,PacBio_Kinnex,Pool2_Kinnex_251006_LA,BC02,OG39G_R_KL,BC06
1_D01,PACB_251117_LAAMD,PacBio_Kinnex,Pool2_Kinnex_251006_LA,BC02,OG39H_R_KL,BC06
1_D01,PACB_251117_LAAMD,PacBio_Kinnex,Pool2_Kinnex_251006_LA,BC02,OG79G_R_KL2,BC10
1_D01,PACB_251117_LAAMD,PacBio_Kinnex,Pool2_Kinnex_251006_LA,BC02,OG79M_R_KL2,BC10
2_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool3_Kinnex_251006_LA,BC03,OG681M_R_KL,BC07
2_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool3_Kinnex_251006_LA,BC03,OG647G_R_KL,BC04
2_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool3_Kinnex_251006_LA,BC03,OG647M_R_KL,BC04
2_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool3_Kinnex_251006_LA,BC03,OG701G_R_KL,BC09
2_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool3_Kinnex_251006_LA,BC03,OG683G_R2_KL,BC08
2_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool3_Kinnex_251006_LA,BC03,OG683M_R_KL,BC08
2_A01,PACB_251117_LAAMD,PacBio_Kinnex,Pool3_Kinnex_251006_LA,BC03,OG681G_R_KL,BC07
2_B01,PACB_251117_LAAMD,PacBio_Kinnex,Pool4_Kinnex_251006_LA,BC04,OG651M_R_KL,BC05
2_B01,PACB_251117_LAAMD,PacBio_Kinnex,Pool4_Kinnex_251006_LA,BC04,OG651G_R5_KL,BC05
2_B01,PACB_251117_LAAMD,PacBio_Kinnex,Pool4_Kinnex_251006_LA,BC04,OG12G_R_KL,BC04
2_B01,PACB_251117_LAAMD,PacBio_Kinnex,Pool4_Kinnex_251006_LA,BC04,OG12M_R_KL,BC04
2_B01,PACB_251117_LAAMD,PacBio_Kinnex,Pool4_Kinnex_251006_LA,BC04,OG115G_R_KL2,BC03
2_C01,PACB_251117_LAAMD,PacBio_Kinnex,Pool5_Kinnex_251006_LA,BC01,OG95H_R_KL,BC11
2_C01,PACB_251117_LAAMD,PacBio_Kinnex,Pool5_Kinnex_251006_LA,BC01,OG108G_R_KL,BC01
2_C01,PACB_251117_LAAMD,PacBio_Kinnex,Pool5_Kinnex_251006_LA,BC01,OG113G_R_KL,BC02
2_C01,PACB_251117_LAAMD,PacBio_Kinnex,Pool5_Kinnex_251006_LA,BC01,OG11G_R_KL,BC03
